train,validation,test,min
0.00,0.00,0.00,0.00
14.29,14.29,14.29,0.00
35.14,37.07,30.36,0.00
70.20,69.50,60.71,0.00
75.42,75.29,67.86,0.00
76.34,76.06,72.32,0.00
76.69,76.83,73.21,0.00
78.00,76.83,73.21,0.00
82.30,80.69,81.25,0.00
90.32,83.01,84.82,25.00
92.38,86.49,88.39,31.25
95.62,88.80,90.18,37.50
98.20,91.12,91.96,56.25
98.42,90.73,94.64,62.50
98.42,91.51,92.86,50.00
99.56,96.53,96.43,75.00
99.26,96.53,95.54,75.00
99.96,96.14,96.43,75.00
99.87,97.68,96.43,75.00
99.96,97.30,99.11,93.75
