train,validation,test,min
0.00,0.00,0.00,0.00
14.37,14.29,15.18,0.00
53.29,49.03,52.68,0.00
81.81,76.06,72.32,12.50
96.41,86.87,82.14,31.25
98.47,91.89,87.50,37.50
99.87,98.07,92.86,62.50
99.91,97.30,91.96,62.50
99.96,99.23,92.86,62.50
99.96,98.46,93.75,62.50
100.00,98.84,93.75,56.25
100.00,99.61,93.75,62.50
100.00,99.23,92.86,56.25
100.00,100.00,96.43,75.00
100.00,100.00,96.43,75.00
100.00,100.00,96.43,75.00
100.00,99.61,96.43,75.00
100.00,99.61,96.43,75.00
100.00,100.00,97.32,81.25
100.00,99.23,96.43,81.25
