train,validation,test,min
0.00,0.00,0.00,0.00
14.33,14.29,14.29,0.00
27.17,28.19,25.00,0.00
40.62,38.22,36.61,0.00
64.55,54.44,56.25,0.00
77.48,76.83,63.39,18.75
87.64,84.94,73.21,43.75
95.49,91.51,81.25,62.50
97.59,94.98,85.71,68.75
98.86,96.91,88.39,75.00
99.52,96.53,90.18,75.00
99.69,98.07,91.07,75.00
99.87,98.46,91.07,68.75
99.91,98.84,91.07,68.75
100.00,99.23,91.07,68.75
100.00,99.23,90.18,68.75
100.00,100.00,91.07,68.75
100.00,100.00,91.96,75.00
100.00,99.61,91.96,68.75
100.00,99.61,91.96,68.75
