train,validation,test,min
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
1.84,2.32,0.89,0.00
21.12,16.60,16.07,0.00
35.98,30.12,25.00,0.00
54.82,42.86,40.18,0.00
65.29,53.28,49.11,0.00
68.80,62.16,54.46,0.00
72.52,69.11,58.04,0.00
76.51,72.59,58.93,0.00
78.83,74.52,59.82,0.00
81.95,76.83,64.29,0.00
85.54,77.99,65.18,0.00
87.16,79.54,68.75,12.50
87.99,80.69,69.64,31.25
90.67,81.08,68.75,12.50
91.50,82.63,70.54,25.00
92.73,83.01,71.43,25.00
93.43,83.40,70.54,25.00
95.35,84.94,73.21,25.00
