################ TRAINING REPORT #################
# Images path   | ./dataset/signals/train/
# Validation    | 0.30
# Images size   | (32,32)
# Architecure   | cifar10
# Bacth Size    | 64
# Snap/Epoch    | 5
# Max epochs    | 1000
# Eval Criteria | 0.75
##################################################
train,trainNC,val,valNC,test,testNC,time,new_best
99.95,99.95,63.90,64.01,54.80,54.86,13990.18,False
99.99,99.99,65.86,65.94,57.44,57.51,14132.93,False
99.91,99.91,66.05,66.12,57.30,57.38,14275.66,False
99.96,99.96,65.39,65.42,57.28,57.34,14418.51,False
99.99,99.99,66.21,66.28,57.26,57.32,14561.74,False
99.99,99.99,65.72,65.77,56.34,56.39,14704.59,False
99.90,99.90,65.01,65.09,56.45,56.52,14847.66,False
99.95,99.95,64.31,64.36,55.76,55.80,14990.39,False
99.96,99.96,64.70,64.79,57.22,57.26,15132.71,False
99.94,99.94,64.86,64.87,57.30,57.34,15275.92,False
99.93,99.93,64.35,64.39,56.56,56.65,15419.22,False
99.97,99.97,66.12,66.13,56.88,56.95,15563.44,False
99.97,99.97,65.02,65.09,57.53,57.55,15706.30,False
99.88,99.88,64.65,64.68,56.60,56.66,15849.56,False
99.44,99.45,63.09,63.13,54.09,54.12,15991.78,False
99.92,99.92,65.74,65.77,56.39,56.44,16135.13,False
99.97,99.97,64.72,64.76,56.28,56.32,16278.10,False
99.95,99.95,65.39,65.39,56.83,56.89,16420.79,False
99.92,99.92,65.87,65.88,56.75,56.76,16563.31,False
99.93,99.93,64.98,65.03,57.05,57.08,16706.26,False
99.91,99.91,64.80,64.83,55.78,55.82,16849.68,False
99.96,99.96,65.34,65.39,58.56,58.59,16993.29,True
99.76,99.76,63.39,63.46,55.03,55.05,17136.51,False
99.93,99.93,65.32,65.35,57.02,57.07,17280.29,False
99.92,99.92,64.84,64.86,56.21,56.24,17423.47,False
99.82,99.82,64.65,64.69,55.82,55.85,17567.75,False
99.90,99.90,65.13,65.16,57.70,57.71,17710.81,False
99.96,99.96,65.16,65.16,57.62,57.68,17854.76,False
99.79,99.79,63.58,63.61,55.59,55.61,17997.52,False
99.86,99.86,65.10,65.13,57.13,57.15,18141.43,False
99.82,99.83,65.36,65.40,56.63,56.63,18285.05,False
99.79,99.79,64.03,64.04,56.87,56.91,18429.43,False
99.88,99.88,64.92,64.95,56.59,56.61,18572.54,False
99.86,99.86,65.15,65.16,56.72,56.75,18716.04,False
99.85,99.85,65.04,65.08,56.71,56.75,18858.92,False
99.74,99.74,64.18,64.20,56.03,56.07,19001.99,False
99.91,99.91,64.52,64.55,56.93,56.93,19144.90,False
99.94,99.94,65.18,65.20,56.53,56.55,19287.99,False
99.76,99.76,65.22,65.22,55.76,55.81,19431.41,False
99.81,99.81,63.96,63.99,55.17,55.18,19575.44,False
99.88,99.88,65.79,65.82,56.07,56.07,19718.29,False
99.86,99.86,64.63,64.64,56.02,56.05,19861.65,False
99.58,99.58,64.31,64.33,54.60,54.60,20004.90,False
99.92,99.92,65.02,65.03,56.75,56.75,20148.72,False
99.83,99.83,65.19,65.20,56.12,56.12,20291.91,False
99.89,99.89,65.19,65.22,55.95,55.96,20435.07,False
99.75,99.75,63.79,63.81,55.52,55.56,20578.26,False
99.83,99.83,63.82,63.84,55.66,55.66,20720.46,False
99.83,99.83,64.28,64.28,56.77,56.80,20863.86,False
99.86,99.87,64.40,64.41,56.11,56.12,21006.63,False
99.68,99.68,62.98,62.99,54.42,54.42,21150.44,False
99.66,99.66,63.77,63.78,55.93,55.93,21294.07,False
99.83,99.83,63.70,63.71,56.16,56.16,21437.51,False
99.84,99.84,64.87,64.89,56.28,56.31,21580.85,False
99.88,99.88,64.63,64.64,55.90,55.91,21724.75,False
99.76,99.76,64.12,64.12,53.97,54.00,21868.00,False
99.55,99.55,63.00,63.00,54.66,54.67,22011.77,False
99.81,99.81,64.42,64.43,55.83,55.83,22155.15,False
99.96,99.96,65.34,65.39,58.56,58.59,22155.15,False
