train,validation,time
0.00,0.00,0.00
24.45,0.00,7.20
41.72,10.00,13.53
46.93,13.93,20.14
61.39,16.41,26.71
73.44,25.78,33.30
81.86,30.58,39.74
84.01,33.88,46.37
89.61,32.98,52.79
92.64,34.63,59.63
95.22,36.13,66.35
95.27,35.77,72.92
97.63,37.70,79.49
98.55,36.17,86.17
98.90,36.01,92.77
96.32,37.47,99.34
99.34,37.58,106.13
99.56,37.07,112.47
99.74,38.65,119.09
99.82,36.40,125.74
99.91,38.45,132.65
100.00,38.84,139.31
99.82,37.35,145.84
100.00,38.53,152.37
100.00,39.16,158.95
100.00,37.11,165.76
100.00,37.70,172.28
100.00,39.20,178.68
100.00,38.13,185.18
100.00,39.35,191.66
100.00,37.70,198.39
100.00,40.50,205.04
100.00,39.47,211.64
100.00,39.28,218.25
100.00,40.06,224.95
100.00,39.16,231.60
100.00,41.40,238.21
100.00,40.14,244.64
99.87,39.28,251.34
100.00,39.79,258.15
100.00,39.71,264.76
100.00,38.69,271.26
100.00,41.48,277.96
100.00,39.83,284.83
100.00,40.77,291.22
100.00,37.62,297.88
100.00,40.22,304.47
100.00,41.99,310.78
100.00,39.67,317.46
100.00,39.35,324.12
100.00,39.91,330.96
100.00,39.71,337.57
100.00,41.20,344.43
100.00,40.61,351.19
100.00,39.63,357.84
100.00,39.16,364.49
100.00,41.28,371.15
100.00,40.22,377.86
100.00,41.79,384.55
100.00,41.79,384.55
