train,validation,time
0.00,0.00,0.00
25.50,6.77,7.43
57.23,15.98,14.30
75.42,31.17,21.00
91.06,34.87,27.63
99.17,35.97,34.27
99.91,37.03,40.98
100.00,38.53,47.77
100.00,39.83,54.40
100.00,41.60,61.05
100.00,40.61,67.69
100.00,41.32,74.58
100.00,39.83,81.45
100.00,40.61,88.24
100.00,40.97,94.83
100.00,40.61,101.84
100.00,40.93,108.69
100.00,40.93,115.20
100.00,43.01,121.88
100.00,43.13,128.38
100.00,41.24,134.85
100.00,41.95,141.49
100.00,40.10,148.15
100.00,40.69,155.15
100.00,40.73,161.83
100.00,39.94,168.39
100.00,41.87,175.01
100.00,38.21,181.66
100.00,38.02,188.21
100.00,40.93,195.10
100.00,37.66,201.70
100.00,37.66,201.70
