train,validation,time
0.00,0.00,0.00
99.70,97.29,183.59,best
99.43,96.63,363.20
99.69,96.56,543.68
99.16,95.41,727.19
98.54,94.96,908.22
99.19,95.89,1088.60
97.90,94.42,1269.41
98.68,95.57,1449.88
96.64,91.67,1632.02
97.52,93.27,1814.47
96.79,92.99,1994.86
97.21,93.34,2175.63
99.70,97.29,2175.63
