train,validation,test
14.00,14.00,0.00
68.00,64.00,26.79
85.00,80.00,40.18
95.00,90.00,48.21
97.00,96.00,62.50
98.00,97.00,75.89
99.00,97.00,78.57
99.00,98.00,83.93
99.00,98.00,91.96
99.00,97.00,84.82
99.00,99.00,87.50
99.00,98.00,93.75
99.00,99.00,93.75
100.00,100.00,94.64
100.00,99.00,94.64
100.00,100.00,94.64
100.00,100.00,95.54
100.00,98.00,97.32
100.00,100.00,95.54
100.00,100.00,95.54
