train,validation,test
12.00,10.00,0.00
80.00,80.00,27.68
89.00,88.00,50.00
89.00,88.00,72.32
96.00,95.00,77.68
95.00,94.00,82.14
99.00,98.00,88.39
99.00,97.00,89.29
99.00,99.00,93.75
98.00,98.00,91.07
99.00,99.00,95.54
99.00,98.00,94.64
99.00,100.00,94.64
100.00,100.00,96.43
99.00,99.00,95.54
100.00,100.00,96.43
100.00,100.00,96.43
100.00,100.00,94.64
100.00,100.00,96.43
100.00,99.00,95.54
