train,validation,test,min
14.00,8.00,0.00,0.00
89.00,88.00,72.32,0.00
99.00,98.00,85.71,43.75
100.00,99.00,92.86,68.75
100.00,99.00,94.64,62.50
99.00,99.00,95.54,68.75
100.00,99.00,97.32,81.25
100.00,99.00,92.86,62.50
99.00,98.00,96.43,81.25
100.00,99.00,97.32,81.25
100.00,100.00,100.00,100.00
