train,validation,test
15.00,14.00,0.00
96.00,96.00,70.54
99.00,100.00,87.50
99.00,98.00,94.64
100.00,100.00,94.64
100.00,100.00,96.43
100.00,100.00,97.32
99.00,99.00,95.54
100.00,99.00,96.43
100.00,100.00,97.32
100.00,99.00,97.32
100.00,99.00,97.32
100.00,99.00,96.43
100.00,99.00,96.43
100.00,100.00,96.43
100.00,99.00,97.32
100.00,99.00,97.32
100.00,99.00,97.32
100.00,100.00,99.11
