Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.032
Total:    16 | Class: 4 | [0,0,1,1,14,0,0] | Acc: 87.500 | Acc2: 87.500 | Time: 0.031
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.032
Total:    16 | Class: 6 | [0,3,0,0,0,0,13] | Acc: 81.250 | Acc2: 6.250 | Time: 0.029
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.026
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 100.000 | Acc2: 25.000 | Time: 0.032
Total:    16 | Class: 2 | [0,0,16,0,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.031
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 100.000 | Acc2: 93.750 | Time: 0.033
Total:    16 | Class: 4 | [0,0,1,1,14,0,0] | Acc: 87.500 | Acc2: 87.500 | Time: 0.030
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.035
Total:    16 | Class: 6 | [0,3,0,0,0,0,13] | Acc: 81.250 | Acc2: 12.500 | Time: 0.034
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.029
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 100.000 | Acc2: 62.500 | Time: 0.029
Total:    16 | Class: 2 | [0,0,16,0,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.030
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.029
Total:    16 | Class: 4 | [0,0,0,1,15,0,0] | Acc: 93.750 | Acc2: 87.500 | Time: 0.034
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.044
Total:    16 | Class: 6 | [0,3,0,0,0,0,13] | Acc: 81.250 | Acc2: 12.500 | Time: 0.034
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.030
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 100.000 | Acc2: 68.750 | Time: 0.027
Total:    16 | Class: 2 | [0,0,16,0,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.028
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.032
Total:    16 | Class: 4 | [0,0,0,0,16,0,0] | Acc: 100.000 | Acc2: 87.500 | Time: 0.031
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.033
Total:    16 | Class: 6 | [0,3,0,0,0,0,13] | Acc: 81.250 | Acc2: 25.000 | Time: 0.033
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.030
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 100.000 | Acc2: 68.750 | Time: 0.030
Total:    16 | Class: 2 | [0,0,16,0,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.029
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.031
Total:    16 | Class: 4 | [0,0,0,1,15,0,0] | Acc: 93.750 | Acc2: 87.500 | Time: 0.033
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.035
Total:    16 | Class: 6 | [0,2,0,0,0,0,14] | Acc: 87.500 | Acc2: 50.000 | Time: 0.033
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.030
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.029
Total:    16 | Class: 2 | [0,0,16,0,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.030
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.030
Total:    16 | Class: 4 | [0,0,0,1,15,0,0] | Acc: 93.750 | Acc2: 87.500 | Time: 0.039
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.034
Total:    16 | Class: 6 | [0,2,0,0,0,0,14] | Acc: 87.500 | Acc2: 25.000 | Time: 0.029
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.032
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.031
Total:    16 | Class: 2 | [0,0,16,0,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.029
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.046
Total:    16 | Class: 4 | [0,0,0,1,15,0,0] | Acc: 93.750 | Acc2: 87.500 | Time: 0.035
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.032
Total:    16 | Class: 6 | [0,2,0,0,0,0,14] | Acc: 87.500 | Acc2: 43.750 | Time: 0.028
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.030
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.033
Total:    16 | Class: 2 | [0,0,16,0,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.028
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 100.000 | Acc2: 100.000 | Time: 0.032
