Total:    16 | Class: 5 | [0,0,0,1,2,11,2] | Acc: 68.75 | Acc2: 0.00 | Time: 0.031
Total:    16 | Class: 6 | [0,1,0,1,1,4,9] | Acc: 56.25 | Acc2: 0.00 | Time: 0.038
Total:    16 | Class: 0 | [4,0,2,2,1,2,5] | Acc: 25.00 | Acc2: 0.00 | Time: 0.031
Total:    16 | Class: 1 | [0,0,0,1,2,0,13] | Acc: 0.00 | Acc2: 0.00 | Time: 0.037
Total:    16 | Class: 2 | [1,0,9,5,1,0,0] | Acc: 56.25 | Acc2: 12.50 | Time: 0.031
Total:    16 | Class: 3 | [0,0,7,5,3,1,0] | Acc: 31.25 | Acc2: 0.00 | Time: 0.031
Total:    16 | Class: 4 | [0,1,1,2,4,7,1] | Acc: 25.00 | Acc2: 0.00 | Time: 0.037
Total:    16 | Class: 5 | [0,0,0,1,2,10,3] | Acc: 62.50 | Acc2: 0.00 | Time: 0.032
Total:    16 | Class: 6 | [0,0,0,1,2,2,11] | Acc: 68.75 | Acc2: 0.00 | Time: 0.031
Total:    16 | Class: 0 | [5,4,2,2,0,0,3] | Acc: 31.25 | Acc2: 0.00 | Time: 0.037
Total:    16 | Class: 1 | [1,7,0,1,1,0,6] | Acc: 43.75 | Acc2: 0.00 | Time: 0.031
Total:    16 | Class: 2 | [1,0,9,5,1,0,0] | Acc: 56.25 | Acc2: 12.50 | Time: 0.031
Total:    16 | Class: 3 | [0,1,6,8,1,0,0] | Acc: 50.00 | Acc2: 0.00 | Time: 0.024
Total:    16 | Class: 4 | [0,3,1,2,4,6,0] | Acc: 25.00 | Acc2: 0.00 | Time: 0.031
Total:    16 | Class: 5 | [0,1,0,1,2,9,3] | Acc: 56.25 | Acc2: 0.00 | Time: 0.016
Total:    16 | Class: 6 | [1,9,0,1,0,0,5] | Acc: 31.25 | Acc2: 0.00 | Time: 0.019
Total:    16 | Class: 0 | [5,1,2,2,0,0,6] | Acc: 31.25 | Acc2: 0.00 | Time: 0.032
Total:    16 | Class: 1 | [2,0,0,1,0,0,13] | Acc: 0.00 | Acc2: 0.00 | Time: 0.031
Total:    16 | Class: 2 | [1,0,9,5,0,0,1] | Acc: 56.25 | Acc2: 18.75 | Time: 0.022
Total:    16 | Class: 3 | [1,0,6,9,0,0,0] | Acc: 56.25 | Acc2: 0.00 | Time: 0.031
Total:    16 | Class: 4 | [0,1,1,3,3,7,1] | Acc: 18.75 | Acc2: 0.00 | Time: 0.031
Total:    16 | Class: 5 | [0,0,0,1,1,8,6] | Acc: 50.00 | Acc2: 0.00 | Time: 0.020
Total:    16 | Class: 6 | [1,0,0,1,0,0,14] | Acc: 87.50 | Acc2: 0.00 | Time: 0.031
Total:    16 | Class: 0 | [7,3,2,2,0,0,2] | Acc: 43.75 | Acc2: 0.00 | Time: 0.031
Total:    16 | Class: 1 | [2,5,0,1,0,0,8] | Acc: 31.25 | Acc2: 0.00 | Time: 0.037
Total:    16 | Class: 2 | [2,0,10,3,1,0,0] | Acc: 62.50 | Acc2: 25.00 | Time: 0.032
Total:    16 | Class: 3 | [3,0,6,7,0,0,0] | Acc: 43.75 | Acc2: 0.00 | Time: 0.040
Total:    16 | Class: 4 | [0,0,1,2,5,8,0] | Acc: 31.25 | Acc2: 0.00 | Time: 0.025
Total:    16 | Class: 5 | [0,0,0,1,2,11,2] | Acc: 68.75 | Acc2: 0.00 | Time: 0.032
Total:    16 | Class: 6 | [1,5,0,1,0,0,9] | Acc: 56.25 | Acc2: 0.00 | Time: 0.016
Total:    16 | Class: 0 | [10,4,1,1,0,0,0] | Acc: 62.50 | Acc2: 0.00 | Time: 0.032
Total:    16 | Class: 1 | [2,6,0,1,0,0,7] | Acc: 37.50 | Acc2: 0.00 | Time: 0.035
Total:    16 | Class: 2 | [2,0,10,3,1,0,0] | Acc: 62.50 | Acc2: 31.25 | Time: 0.034
Total:    16 | Class: 3 | [1,0,6,9,0,0,0] | Acc: 56.25 | Acc2: 0.00 | Time: 0.033
Total:    16 | Class: 4 | [0,0,1,2,7,6,0] | Acc: 43.75 | Acc2: 0.00 | Time: 0.034
Total:    16 | Class: 5 | [0,0,0,1,2,11,2] | Acc: 68.75 | Acc2: 0.00 | Time: 0.031
Total:    16 | Class: 6 | [1,7,0,1,0,0,7] | Acc: 43.75 | Acc2: 0.00 | Time: 0.032
Total:    16 | Class: 0 | [10,4,1,1,0,0,0] | Acc: 62.50 | Acc2: 0.00 | Time: 0.031
Total:    16 | Class: 1 | [2,7,0,1,0,0,6] | Acc: 43.75 | Acc2: 0.00 | Time: 0.038
Total:    16 | Class: 2 | [2,0,10,3,0,1,0] | Acc: 62.50 | Acc2: 25.00 | Time: 0.031
Total:    16 | Class: 3 | [5,0,6,5,0,0,0] | Acc: 31.25 | Acc2: 0.00 | Time: 0.031
Total:    16 | Class: 4 | [0,0,1,2,6,7,0] | Acc: 37.50 | Acc2: 0.00 | Time: 0.019
Total:    16 | Class: 5 | [0,0,0,1,2,10,3] | Acc: 62.50 | Acc2: 6.25 | Time: 0.016
Total:    16 | Class: 6 | [1,8,0,1,0,0,6] | Acc: 37.50 | Acc2: 0.00 | Time: 0.035
Total:    16 | Class: 0 | [10,4,1,1,0,0,0] | Acc: 62.50 | Acc2: 0.00 | Time: 0.016
Total:    16 | Class: 1 | [2,8,0,1,0,0,5] | Acc: 50.00 | Acc2: 0.00 | Time: 0.016
Total:    16 | Class: 2 | [1,0,10,4,1,0,0] | Acc: 62.50 | Acc2: 31.25 | Time: 0.031
Total:    16 | Class: 3 | [2,0,6,8,0,0,0] | Acc: 50.00 | Acc2: 0.00 | Time: 0.037
Total:    16 | Class: 4 | [0,0,1,2,7,6,0] | Acc: 43.75 | Acc2: 0.00 | Time: 0.031
Total:    16 | Class: 5 | [0,0,0,1,2,11,2] | Acc: 68.75 | Acc2: 12.50 | Time: 0.031
Total:    16 | Class: 6 | [1,11,0,1,0,0,3] | Acc: 18.75 | Acc2: 0.00 | Time: 0.022
