train,validation,time
0.00,0.00,0.00
99.40,95.34,330.41,best
99.08,95.01,671.88
93.75,89.28,1033.08
98.20,94.43,1386.27
95.52,91.03,1745.48
94.59,89.70,2101.27
95.64,90.78,2461.02
90.17,86.42,2817.63
93.27,89.65,3180.10
92.33,87.11,3540.73
93.06,88.40,3899.08
93.36,88.46,4258.28
99.40,95.34,4258.28
