train,validation,time
0.00,0.00,0.00
28.48,0.00,7.31
45.22,0.00,13.91
55.83,0.00,20.64
78.62,2.44,27.16
95.49,13.73,33.99
99.56,19.48,40.74
99.87,26.37,47.37
99.91,28.53,53.73
100.00,32.66,60.48
100.00,35.18,67.03
99.96,37.66,73.62
100.00,38.33,80.03
100.00,39.35,86.49
100.00,39.71,93.12
100.00,41.44,99.73
100.00,43.88,106.60
100.00,42.78,113.02
100.00,44.35,119.79
99.96,44.00,126.42
100.00,42.07,133.10
100.00,47.26,139.63
100.00,47.97,146.19
100.00,48.17,152.71
100.00,50.45,159.16
100.00,46.48,165.56
100.00,50.81,172.51
100.00,46.28,179.24
100.00,46.91,185.77
100.00,47.26,192.43
100.00,46.20,198.95
100.00,43.96,205.48
100.00,47.46,212.17
100.00,47.62,218.72
100.00,45.38,225.58
100.00,46.83,232.25
100.00,52.18,238.63
100.00,49.04,245.02
100.00,50.37,251.45
100.00,48.13,257.84
100.00,50.73,264.52
100.00,46.52,271.34
100.00,45.77,277.85
100.00,49.67,284.70
100.00,50.06,291.01
100.00,53.36,297.43
100.00,53.17,303.93
100.00,55.21,310.56
100.00,53.17,317.02
100.00,53.72,323.55
100.00,50.89,330.18
100.00,52.34,336.97
100.00,54.62,343.51
100.00,53.40,350.18
100.00,54.86,356.69
100.00,48.96,363.20
100.00,52.97,370.05
100.00,53.17,376.65
100.00,51.59,383.36
100.00,51.59,383.36
