train,validation,time
0.00,0.00,0.00
26.56,14.52,7.53
49.21,30.11,13.85
69.24,44.16,20.35
77.56,47.07,26.57
87.16,53.33,33.00
93.21,54.27,39.51
96.32,55.10,45.95
98.64,56.08,52.62
99.34,56.20,58.88
98.90,56.67,65.44
99.96,55.25,72.18
99.96,55.49,78.41
100.00,56.83,84.84
100.00,57.02,91.39
99.96,56.43,97.79
99.96,56.32,104.27
100.00,56.08,110.91
100.00,56.95,117.29
100.00,56.83,123.69
100.00,56.79,130.19
100.00,57.10,136.32
100.00,56.63,142.86
100.00,56.79,149.18
100.00,56.36,156.02
100.00,57.10,162.42
100.00,57.10,168.91
100.00,56.36,175.16
100.00,56.79,181.60
100.00,56.95,187.96
100.00,57.14,194.45
100.00,57.06,200.82
100.00,57.18,207.48
100.00,56.32,213.73
100.00,57.34,220.52
100.00,57.26,226.96
100.00,56.51,233.54
100.00,56.99,239.98
100.00,57.14,246.45
100.00,57.34,252.81
100.00,57.34,259.14
100.00,57.34,265.58
100.00,57.22,272.12
100.00,57.42,278.39
100.00,57.30,284.61
100.00,57.54,291.32
100.00,57.58,297.95
100.00,57.54,304.35
100.00,58.17,311.06
100.00,57.50,317.75
100.00,58.17,324.39
100.00,57.77,330.98
100.00,57.69,337.20
100.00,57.58,343.86
100.00,58.32,350.09
100.00,58.32,356.83
100.00,58.32,363.40
100.00,58.32,370.07
100.00,58.60,376.48
100.00,57.65,383.21
100.00,58.60,389.86
100.00,59.11,396.28
100.00,58.60,402.64
100.00,58.68,409.00
100.00,59.03,415.42
100.00,59.43,421.86
100.00,59.66,428.53
100.00,59.11,435.18
100.00,60.29,441.64
100.00,59.62,447.96
100.00,59.78,454.49
100.00,60.68,461.01
100.00,61.08,467.45
100.00,60.72,473.97
100.00,61.04,480.61
100.00,61.67,487.24
100.00,60.29,494.05
100.00,62.06,500.82
100.00,61.75,507.35
100.00,62.46,513.94
100.00,62.46,520.54
100.00,62.42,527.35
100.00,62.34,534.05
100.00,62.38,540.43
100.00,62.42,546.70
100.00,62.34,553.32
100.00,63.83,559.51
100.00,62.73,566.22
100.00,63.40,572.50
100.00,62.57,578.93
100.00,64.54,585.32
100.00,63.36,592.01
100.00,62.50,598.69
100.00,64.78,605.33
100.00,64.74,611.86
100.00,62.73,618.39
100.00,66.08,625.12
100.00,65.17,631.82
100.00,64.82,638.27
100.00,64.38,644.76
100.00,63.99,651.08
