train,validation,time
0.00,0.00,0.00
20.73,12.59,7.66
45.62,29.48,14.07
81.20,43.25,20.36
96.54,52.89,26.87
98.86,56.20,33.16
99.17,60.09,39.91
99.87,59.58,46.27
100.00,63.79,52.78
100.00,64.23,59.19
100.00,62.38,65.60
100.00,64.62,72.04
100.00,63.32,78.41
100.00,65.72,84.82
100.00,66.63,91.31
100.00,69.62,97.91
100.00,67.45,104.59
100.00,67.30,111.26
100.00,69.42,117.77
100.00,69.03,124.26
100.00,68.79,130.72
100.00,69.82,137.67
100.00,69.38,144.26
100.00,69.62,150.87
100.00,69.50,157.46
100.00,69.54,164.41
100.00,70.80,170.90
100.00,70.72,177.45
100.00,69.46,183.87
100.00,69.97,190.39
100.00,64.94,197.12
100.00,69.82,203.69
100.00,67.81,210.25
100.00,70.64,216.74
100.00,63.68,223.46
100.00,67.02,230.20
100.00,71.23,236.73
100.00,70.41,243.51
100.00,70.84,250.14
100.00,71.35,256.75
100.00,70.96,263.49
100.00,70.92,270.19
100.00,70.25,276.61
100.00,71.35,283.45
100.00,68.95,290.27
100.00,69.78,296.94
100.00,71.35,303.90
100.00,69.93,310.65
100.00,71.35,317.28
100.00,69.78,323.65
100.00,70.41,330.49
100.00,70.41,330.49
