train,validation,time
0.00,0.00,0.00
26.29,12.59,7.38
63.67,38.45,14.07
84.88,53.48,20.65
93.34,55.14,27.28
95.27,56.24,33.94
98.47,56.63,40.44
98.82,56.79,46.93
100.00,56.79,53.67
100.00,57.06,60.33
99.96,57.06,67.05
100.00,57.06,73.65
100.00,57.02,80.35
100.00,56.79,87.01
100.00,57.02,93.59
100.00,57.06,100.51
100.00,56.99,107.39
100.00,57.10,114.23
100.00,56.95,120.94
100.00,56.99,127.49
100.00,56.87,134.30
100.00,56.95,140.71
100.00,56.87,147.41
100.00,56.87,153.79
100.00,56.87,160.76
100.00,56.87,167.12
100.00,57.06,173.79
100.00,57.06,180.78
100.00,57.10,187.37
100.00,57.10,187.37
