train,validation,time
0.00,0.00,0.00
26.64,24.44,7.50
74.63,59.50,13.99
98.55,79.10,20.50
99.87,82.37,27.00
99.96,84.22,33.56
100.00,84.61,39.87
100.00,84.65,46.26
100.00,85.01,52.78
100.00,85.24,59.42
100.00,84.73,65.67
100.00,85.12,72.43
100.00,85.52,78.99
100.00,85.64,85.40
100.00,85.24,91.96
100.00,85.64,98.46
100.00,85.56,105.18
100.00,85.67,111.82
100.00,85.48,118.58
100.00,85.67,125.15
100.00,85.67,131.90
100.00,85.67,138.56
100.00,85.67,145.17
100.00,85.64,151.85
100.00,85.67,158.52
100.00,85.71,165.09
100.00,85.71,171.66
100.00,85.71,178.36
100.00,85.67,184.81
100.00,85.60,191.24
100.00,85.71,198.00
100.00,85.36,204.34
100.00,85.67,211.23
100.00,85.32,217.84
100.00,85.71,224.62
100.00,85.71,231.43
100.00,85.71,238.20
100.00,85.71,238.20
