train,validation,time
0.00,0.00,0.00
27.83,14.48,7.44
42.55,16.02,14.05
54.60,25.66,20.43
69.28,32.07,26.72
77.34,33.77,33.15
85.28,35.54,39.49
91.06,37.07,46.17
95.05,37.74,52.81
94.96,39.63,59.30
97.77,38.84,66.13
98.90,40.89,72.69
99.43,41.99,79.14
99.82,49.04,85.60
99.82,40.93,92.31
100.00,40.61,98.96
100.00,41.76,105.54
100.00,47.93,112.03
100.00,46.56,118.58
100.00,44.79,125.16
100.00,47.46,131.72
100.00,43.05,138.23
100.00,41.32,144.69
100.00,46.56,151.18
100.00,45.26,157.94
100.00,45.26,157.94
