train,validation,time
0.00,0.00,0.00
26.86,0.16,7.66
57.71,11.81,14.01
90.93,23.89,20.39
98.55,26.01,27.05
99.78,28.49,33.38
100.00,29.87,39.99
100.00,30.54,46.42
100.00,36.17,53.17
100.00,29.99,59.59
100.00,32.31,66.00
100.00,31.29,72.69
100.00,33.53,79.51
100.00,34.67,86.14
100.00,41.13,92.78
100.00,44.12,99.38
100.00,33.49,106.30
100.00,43.45,112.70
100.00,42.11,119.40
100.00,45.38,126.15
100.00,40.34,132.74
100.00,40.50,139.10
100.00,32.03,145.39
100.00,33.49,151.85
100.00,33.22,158.27
100.00,37.47,164.97
100.00,31.52,171.43
100.00,35.77,177.86
100.00,36.28,184.39
100.00,36.52,190.96
100.00,29.91,197.77
100.00,29.91,197.77
