train,validation,time
0.00,0.00,0.00
33.48,1.61,7.84
59.07,13.73,14.55
67.92,13.14,21.24
92.90,17.24,27.79
99.69,28.30,34.51
100.00,32.62,41.46
100.00,36.40,47.97
100.00,39.04,54.59
100.00,34.95,61.19
100.00,39.00,67.65
100.00,38.80,74.19
100.00,37.15,81.13
100.00,36.56,87.84
100.00,41.68,94.40
100.00,35.58,101.11
100.00,36.56,107.73
100.00,40.10,114.40
100.00,42.86,121.16
100.00,44.51,127.69
100.00,48.64,134.38
100.00,38.88,140.95
100.00,49.47,147.64
100.00,41.99,154.20
100.00,41.05,160.87
100.00,47.19,167.37
100.00,43.01,173.98
100.00,46.91,180.49
100.00,44.00,187.17
100.00,46.12,193.70
100.00,45.89,200.49
100.00,47.89,207.19
100.00,42.50,213.82
100.00,43.13,220.30
100.00,43.13,220.30
